"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.0.0.UWCH","European Union","01 Revenue","Compensation of employees: households and NPISH ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4299.404,4629.877,4838.677,5001.177,5063.629,5258.176,5461.263,5741.172,6054.553,6163.566,5986.021,6161.412,6296.268,6455.473,6498.771,6685.329,6998.466,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",NA
"2","EU15.1.0.0.0.UWCH","European Union (15 countries)","01 Revenue","Compensation of employees: households and NPISH ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4119.284,4425.513,4606.036,4756.684,4818.947,4998.632,5161.716,5408.875,5674.456,5717.134,5594.865,5748.973,5872.428,6024.842,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",NA
"3","EA19.1.0.0.0.UWCH","Euro area","01 Revenue","Compensation of employees: households and NPISH ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.337,3369.394,3511.401,3634.582,3736.445,3842.88,3967.507,4137.625,4335.252,4528.643,4515.077,4582.032,4685.559,4733.434,4776.02,4870.076,4995.711,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",NA
"4","EA12.1.0.0.0.UWCH","Euro area (12 countries)","01 Revenue","Compensation of employees: households and NPISH ","Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3161.222,3326.969,3465.714,3586.788,3684.577,3786.77,3905.184,4067.654,4252.726,4434.325,4428.872,4497.39,4597.148,4641.791,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",NA
"5","BEL.1.0.0.0.UWCH","Belgium","01 Revenue","Compensation of employees: households and NPISH ","Mrd EURO-BEF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6614,69.6211,71.5032,74.5835,79.9669,86.1431,92.6364,97.3187,100.7488,104.7396,108.7386,110.9706,115.187,119.3878,125.6863,131.4045,138.8134,144.3655,147.3194,151.8157,157.095,164.7315,173.5621,183.1001,184.5251,188.399,196.856,203.6616,207.5484,210.4933,212.3935,215.1692,221.0471,"226.4233                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",NA
"6","BGR.1.0.0.0.UWCH","Bulgaria","01 Revenue","Compensation of employees: households and NPISH ","Mrd BGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.6539,5.9719,9.32,9.4219,10.0364,11.9144,13.2142,14.4526,15.8592,17.4985,19.3877,21.4928,25.5734,26.6212,27.6684,29.0744,30.7821,33.177,35.1191,37.45171,39.35361,41.68904,"44.00736                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",NA
"7","CZE.1.0.0.0.UWCH","Czech Republic","01 Revenue","Compensation of employees: households and NPISH ","Mrd CZK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618.533,725.689,796.567,839.271,866.828,922.327,996.289,1067.875,1129.812,1216.421,1297.559,1392.02,1504.957,1592.92,1553.405,1585.002,1626.938,1669.414,1691.67,1759.516,1847.021,1958.281,2055.803,"2150.832                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",NA
"8","DNK.1.0.0.0.UWCH","Denmark","01 Revenue","Compensation of employees: households and NPISH ","Mrd DKK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.983,266.46,291.931,315.768,342.006,368.467,402.55,423.097,441.046,459.344,475.478,489.505,494.798,510.861,523.565,550.486,575.783,608.752,636.591,662.336,696.524,721.484,740.499,762.067,795.847,842.848,890.586,934.703,932.984,942.942,955.756,967.11,984.325,1009.752,1038.827,1073.468,1110.653,"1151.605                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",NA
"9","DEU.1.0.0.0.UWCH","Germany","01 Revenue","Compensation of employees: households and NPISH ","Mrd EURO-DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856.754,928.749,950.554,975.538,1010.682,1019.827,1024.159,1045.819,1075.955,1117.389,1134.328,1141.857,1143.602,1146.147,1144.015,1164.375,1197.187,1241.646,1246.674,1283.805,1339.727,1391.204,1430.04,1485.45,1539.852,1598.018,1656.537,"1717.797                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",NA
"10","D_W.1.0.0.0.UWCH","West Germany","01 Revenue","Compensation of employees: households and NPISH ","Mrd EURO-DEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.74,466.42,481.52,492.28,511.35,531.78,560.12,585.53,610.39,638.7,689.1,745.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",NA
