"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"1","EU28.1.0.319.0.UBLGAP","European Union","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4396,-2.9586,-3.0979,-3.0189,-2.7115,-2.5516,-2.4169,-3.3835,-4.6487,-5.1499,-3.8246,-3.0258,-1.8212,-1.8804,-1.7059,-1.3101,-1.4649,-1.5347,NA
"2","EU15.1.0.319.0.UBLGAP","European Union (15 countries)","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.565,-3.5907,-2.4561,-1.8865,-1.2511,-0.5982,-2.383,-2.8947,-3.0314,-2.9845,-2.6509,-2.413,-2.302,-3.2333,-4.5235,-5.1111,-3.7588,-3.0476,-1.7825,-1.8543,-1.7179,-1.294,-1.3969,-1.4565,NA
"3","EA19.1.0.319.0.UBLGAP","Euro area","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.3936,-1.7826,-1.1888,-3.1399,-3.2539,-3.0476,-3.0553,-2.6434,-2.3233,-2.1614,-3.1294,-4.3575,-5.0265,-3.6413,-2.4783,-1.4371,-1.2515,-1.1618,-0.9788,-1.0786,-1.3496,NA
"4","EA12.1.0.319.0.UBLGAP","Euro area (12 countries)","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.9134,-3.665,-2.6275,-2.3773,-1.7572,-1.1433,-3.1376,-3.2493,-3.0519,-3.068,-2.6463,-2.3057,-2.13,-3.0922,-4.3441,-5.0344,-3.6325,-2.4777,-1.3936,-1.2303,-1.1547,-0.9825,-1.0768,-1.3534,NA
"5","BEL.1.0.319.0.UBLGAP","Belgium","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.162,-3.4121,-2.2257,-0.8345,-0.932,-0.9664,-0.0696,-0.0205,-1.1723,-0.5567,-3.2401,-0.6355,-1.6794,-2.2486,-4.404,-3.8524,-4.218,-3.7825,-2.1464,-2.4991,-2.1805,-2.2595,-1.6579,-1.9497,NA
"6","BGR.1.0.319.0.UBLGAP","Bulgaria","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.097,-10.788,0.3186,0.2103,1.2036,0.2217,1.8086,-1.0922,-0.4708,1.6628,0.7544,1.3532,0.0955,0.3486,-3.4748,-2.7825,-2.0472,-0.1973,-0.1338,-4.9839,-1.4088,0.1082,-0.385,-0.2642,NA
"7","CZE.1.0.319.0.UBLGAP","Czech Republic","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.0915,-3.8156,-2.6677,-3.391,-5.6131,-6.1738,-6.426,-3.0531,-4.1632,-4.3107,-3.138,-4.0112,-4.6032,-3.8741,-2.561,-3.1823,0.0759,-1.0059,-0.6282,0.4905,0.0429,-0.2374,NA
"8","DNK.1.0.319.0.UBLGAP","Denmark","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2143,-2.4165,-1.6447,-0.8067,0.0375,0.2841,-0.1641,-0.6952,-0.3016,1.002,3.2233,1.8419,2.3049,1.7469,-0.5705,-1.0765,-0.7285,-1.8032,0.6236,2.5996,-0.4407,-0.0303,-0.4019,-0.0998,NA
"9","DEU.1.0.319.0.UBLGAP","Germany","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.3507,-3.0738,-2.6412,-2.4451,-1.7811,0.1582,-4.0165,-4.1056,-3.2669,-2.791,-2.1825,-1.704,-0.8104,-1.0729,-0.5655,-3.0935,-1.3622,-0.254,0.1041,0.4841,0.7756,0.8376,0.5805,0.2665,NA
"10","EST.1.0.319.0.UBLGAP","Estonia","01 Based on potential GDP (ESA 2010)","Cyclically adjusted net lending (+) or net borrowing (-) of general government :- Adjustment based on potential GDP Excessive deficit procedure ","(Percentage of potential GDP at current prices) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3498,3.0915,2.7514,-0.1776,-0.7315,0.2625,-0.1451,-0.2535,0.5282,0.9609,-1.7006,-1.9506,-3.6416,-5.1931,1.8134,3.1021,1.5071,-1.0686,-0.7504,-0.1878,-0.3506,0.1406,-0.307,-0.7432,NA
