DATE,UKNGDP
1955-01-01,4720
1955-04-01,4745
1955-07-01,4914
1955-10-01,5009
1956-01-01,5134
1956-04-01,5206
1956-07-01,5289
1956-10-01,5423
1957-01-01,5431
1957-04-01,5511
1957-07-01,5627
1957-10-01,5754
1958-01-01,5851
1958-04-01,5777
1958-07-01,5886
1958-10-01,5938
1959-01-01,5942
1959-04-01,6139
1959-07-01,6151
1959-10-01,6365
1960-01-01,6472
1960-04-01,6534
1960-07-01,6631
1960-10-01,6775
1961-01-01,6935
1961-04-01,6910
1961-07-01,7147
1961-10-01,7077
1962-01-01,7163
1962-04-01,7338
1962-07-01,7415
1962-10-01,7458
1963-01-01,7400
1963-04-01,7780
1963-07-01,7899
1963-10-01,8150
1964-01-01,8169
1964-04-01,8447
1964-07-01,8633
1964-10-01,8878
1965-01-01,9040
1965-04-01,9084
1965-07-01,9302
1965-10-01,9480
1966-01-01,9618
1966-04-01,9779
1966-07-01,9960
1966-10-01,10066
1967-01-01,10172
1967-04-01,10424
1967-07-01,10490
1967-10-01,10642
1968-01-01,11116
1968-04-01,11233
1968-07-01,11585
1968-10-01,11875
1969-01-01,12077
1969-04-01,12251
1969-07-01,12506
1969-10-01,12848
1970-01-01,13189
1970-04-01,13769
1970-07-01,14221
1970-10-01,14737
1971-01-01,14945
1971-04-01,15440
1971-07-01,15928
1971-10-01,16327
1972-01-01,16542
1972-04-01,17316
1972-07-01,17684
1972-10-01,18763
1973-01-01,19977
1973-04-01,19791
1973-07-01,20476
1973-10-01,21223
1974-01-01,21049
1974-04-01,22534
1974-07-01,23774
1974-10-01,24870
1975-01-01,26691
1975-04-01,27987
1975-07-01,29118
1975-10-01,30745
1976-01-01,32276
1976-04-01,33117
1976-07-01,34324
1976-10-01,36455
1977-01-01,37793
1977-04-01,39003
1977-07-01,40094
1977-10-01,41896
1978-01-01,43852
1978-04-01,45586
1978-07-01,46872
1978-10-01,48581
1979-01-01,50138
1979-04-01,53617
1979-07-01,56394
1979-10-01,59410
1980-01-01,61752
1980-04-01,63327
1980-07-01,65614
1980-10-01,67718
1981-01-01,69468
1981-04-01,70761
1981-07-01,72671
1981-10-01,74950
1982-01-01,76825
1982-04-01,78270
1982-07-01,79700
1982-10-01,81903
1983-01-01,84905
1983-04-01,85643
1983-07-01,87752
1983-10-01,89983
1984-01-01,90791
1984-04-01,92646
1984-07-01,93923
1984-10-01,97174
1985-01-01,98450
1985-04-01,102838
1985-07-01,104512
1985-10-01,106320
1986-01-01,108069
1986-04-01,109723
1986-07-01,111431
1986-10-01,114810
1987-01-01,117350
1987-04-01,120942
1987-07-01,125857
1987-10-01,128486
1988-01-01,132265
1988-04-01,135139
1988-07-01,139650
1988-10-01,144655
1989-01-01,147349
1989-04-01,150154
1989-07-01,154046
1989-10-01,157925
1990-01-01,160842
1990-04-01,165098
1990-07-01,168216
1990-10-01,168694
1991-01-01,171713
1991-04-01,173588
1991-07-01,175270
1991-10-01,177467
1992-01-01,179232
1992-04-01,179362
1992-07-01,179891
1992-10-01,182960
1993-01-01,187144
1993-04-01,187274
1993-07-01,190751
1993-10-01,193276
1994-01-01,195904
1994-04-01,197522
1994-07-01,199744
1994-10-01,203918
1995-01-01,204649
1995-04-01,207119
1995-07-01,210922
1995-10-01,213956
1996-01-01,218668
1996-04-01,222996
1996-07-01,224996
1996-10-01,226240
1997-01-01,229718
1997-04-01,232710
1997-07-01,238568
1997-10-01,237859
1998-01-01,241214
1998-04-01,242815
1998-07-01,244750
1998-10-01,251529
1999-01-01,253453
1999-04-01,252305
1999-07-01,255678
1999-10-01,259769
2000-01-01,266240
2000-04-01,269907
2000-07-01,272030
2000-10-01,272686
2001-01-01,275097
2001-04-01,280259
2001-07-01,281273
2001-10-01,283946
2002-01-01,287487
2002-04-01,290596
2002-07-01,295078
2002-10-01,299491
2003-01-01,304228
2003-04-01,307819
2003-07-01,312341
2003-10-01,318061
2004-01-01,320320
2004-04-01,325462
2004-07-01,327320
2004-10-01,331772
2005-01-01,335287
2005-04-01,343740
2005-07-01,346479
2005-10-01,353951
2006-01-01,358099
2006-04-01,362278
2006-07-01,365835
2006-10-01,369432
2007-01-01,375722
2007-04-01,379527
2007-07-01,385302
2007-10-01,390339
2008-01-01,394836
2008-04-01,393634
2008-07-01,390964
2008-10-01,384818
2009-01-01,378609
2009-04-01,377963
2009-07-01,380205
2009-10-01,382682
2010-01-01,387526
2010-04-01,393419
2010-07-01,394272
2010-10-01,397222
2011-01-01,406938
2011-04-01,404307
2011-07-01,406699
2011-10-01,410330
2012-01-01,412672
2012-04-01,413777
2012-07-01,423666
2012-10-01,424929
2013-01-01,429001
2013-04-01,431909
2013-07-01,438341
2013-10-01,440312
2014-01-01,446657
2014-04-01,454849
2014-07-01,459678
2014-10-01,461296
2015-01-01,462745
2015-04-01,469585
2015-07-01,469289
2015-10-01,471095
2016-01-01,476126
2016-04-01,483464
2016-07-01,486478
2016-10-01,493569
2017-01-01,497209
