COUNTRY,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52
Austria,1961,0.0231,-0.0033,0.0212,0.0055,-0.2105,NA,0.0816,0.0756,0.079,0.0865,0.1069,0.1524,0.1411,0.0978,0.0863,0.0959,0.0971,0.0911,0.0976,0.0999,0.098,NA,NA,0.1029,0.0947,0.0931,0.0821,0.096,0.1346,0.0402,0.084,0.0505,0.1949,0.0396,0.0392,0.0438,-0.7568,-1.3642,NA,0.5293,0.0613,0.0373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1962,0.0166,-0.0004,0.0217,0.0061,0,NA,0.0762,0.0696,0.077,0.0847,-0.0217,0.0445,0.0506,0.0683,0.0587,0.0695,0.0605,0.054,0.0669,0.0565,0.0606,NA,NA,0.0865,0.0334,0.0066,0.0733,0.1994,0.0834,0.038,0.0998,0.037,0.2827,0.0506,0.0444,0.1176,-8.5845,4.6809,NA,0.0955,0.0484,0.0436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1963,0.0142,0.0011,0.0199,0.0064,0.0667,NA,0.0831,0.0762,0.0886,0.107,0.0632,0.0876,0.0257,0.0883,0.083,0.0711,0.0776,0.0707,0.0649,0.0727,0.0778,NA,NA,0.0772,0.082,0.0686,0.0786,0.2116,0.0864,0.0371,0.0878,0.0394,0.2018,0.1052,0.0673,0.4829,-0.5504,-0.2099,NA,0.1607,0.0484,0.0777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1964,0.0175,-0.0003,0.0226,0.0067,-0.0625,NA,0.0728,0.0657,0.0774,0.0789,0.1863,0.1115,0.1573,0.0863,0.1012,0.0987,0.0944,0.0871,0.1022,0.0978,0.0949,NA,NA,0.1006,0.0738,0.0709,0.093,0.0395,0.1245,0.0406,0.083,0.0773,0.0948,0.1276,0.1085,0.2648,-0.898,-0.9903,NA,0.2461,0.0885,0.1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1965,0.0184,-0.0009,0.0221,0.0065,0,NA,0.0961,0.089,0.0952,0.1109,0.0892,0.1248,0.0665,0.1032,0.0951,0.0871,0.0871,0.0801,0.0829,0.0829,0.0872,NA,NA,0.1012,0.0696,0.0465,0.0913,0.108,0.0927,0.0416,0.1012,0.1021,0.0994,0.1269,0.1355,0.0728,-9.538,-71.9028,NA,0.0988,0.1091,0.1313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1966,0.0184,-0.0002,0.0219,0.007,-0.0667,NA,0.0673,0.0599,0.0759,0.087,0.1574,0.1092,0.1303,0.085,0.0962,0.0909,0.0896,0.082,0.0916,0.0898,0.0894,NA,NA,0.1021,0.0643,0.0509,0.0932,0.0903,0.1133,0.0445,0.0866,0.0629,0.1342,0.1227,0.1112,0.2,1.6015,1.6972,NA,0.0449,0.0545,0.1108,0.0614,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1967,0.018,0.0003,0.0227,0.0075,0.0714,NA,0.0802,0.0722,0.0913,0.0879,-0.0092,0.0218,0.0074,0.0719,0.0631,0.0674,0.0674,0.0594,0.0637,0.065,0.0685,NA,NA,0.0877,0.0455,0.0225,0.1003,0.0017,0.0413,0.0396,0.0683,0.0759,0.0542,0.0426,-0.0006,0.3091,-0.3936,-0.4098,NA,0.3936,0.0805,-0.0027,0.0449,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1968,0.0149,-0.0015,0.0188,0.0052,0.0667,NA,0.103,0.0973,0.1077,0.0946,0.1015,0.0734,0.1131,0.0985,0.1128,0.1091,0.1102,0.1044,0.1118,0.1151,0.1119,NA,NA,0.0972,0.0712,0.08,0.1106,0.0314,0.1194,0.0382,0.1403,0.1339,0.1524,0.1164,0.1116,0.1392,-0.3461,-0.6412,NA,0.4922,0.1378,0.1192,0.072,-0.1284,0.4575,NA,NA,NA,NA,NA,NA,NA
Austria,1969,0.0114,-0.0024,0.0158,0.0035,0,NA,0.0705,0.0668,0.0811,0.0709,0.0882,0.0715,0.1527,0.0786,0.1097,0.1004,0.1002,0.0964,0.1058,0.1041,0.099,NA,NA,0.0976,0.0958,0.1161,0.09,0.0369,0.08,0.0387,0.2137,0.2214,0.1993,0.1511,0.1312,0.2426,-4.1072,-6.1742,NA,-0.0963,0.22,0.1388,-0.0284,0.0845,-0.1583,NA,NA,NA,NA,NA,NA,NA
Austria,1970,0.0067,-0.0002,0.0142,0.0035,-0.3125,NA,0.0821,0.0784,0.0846,0.1123,0.23,0.1575,0.2028,0.1035,0.1477,0.118,0.1217,0.1178,0.1191,0.1237,0.122,NA,NA,0.0945,0.1533,0.1782,0.08,0.0077,0.1176,0.043,0.2286,0.1869,0.3091,0.2424,0.2608,0.1648,-0.4235,-0.0823,NA,0.1796,0.1812,0.2544,0.0399,0.2517,-0.2739,NA,NA,NA,NA,NA,NA,NA
