COUNTRY,year,f7,f10,f14,f15,f20
Croatia,1961,NA,NA,NA,NA,NA
Croatia,1962,NA,NA,NA,NA,NA
Croatia,1963,NA,NA,NA,NA,NA
Croatia,1964,NA,NA,NA,NA,NA
Croatia,1965,NA,NA,NA,NA,NA
Croatia,1966,NA,NA,NA,NA,NA
Croatia,1967,NA,NA,NA,NA,NA
Croatia,1968,NA,NA,NA,NA,NA
Croatia,1969,NA,NA,NA,NA,NA
Croatia,1970,NA,NA,NA,NA,NA
Croatia,1971,NA,NA,NA,NA,NA
Croatia,1972,NA,NA,NA,NA,NA
Croatia,1973,NA,NA,NA,NA,NA
Croatia,1974,NA,NA,NA,NA,NA
Croatia,1975,NA,NA,NA,NA,NA
Croatia,1976,NA,NA,NA,NA,NA
Croatia,1977,NA,NA,NA,NA,NA
Croatia,1978,NA,NA,NA,NA,NA
Croatia,1979,NA,NA,NA,NA,NA
Croatia,1980,NA,NA,NA,NA,NA
Croatia,1981,NA,NA,NA,NA,NA
Croatia,1982,NA,NA,NA,NA,NA
Croatia,1983,NA,NA,NA,NA,NA
Croatia,1984,NA,NA,NA,NA,NA
Croatia,1985,NA,NA,NA,NA,NA
Croatia,1986,NA,NA,NA,NA,NA
Croatia,1987,NA,NA,NA,NA,NA
Croatia,1988,NA,NA,NA,NA,NA
Croatia,1989,NA,NA,NA,NA,NA
Croatia,1990,NA,NA,NA,NA,NA
Croatia,1991,NA,NA,NA,NA,NA
Croatia,1992,NA,NA,NA,NA,NA
Croatia,1993,NA,NA,NA,NA,NA
Croatia,1994,NA,NA,NA,NA,NA
Croatia,1995,NA,NA,NA,NA,NA
Croatia,1996,0.0471,-0.0138,0.0786,0.1001,0.1101
Croatia,1997,0.1569,0.1179,0.1709,0.1842,0.1286
Croatia,1998,0.0283,0.0709,0.0526,0.0203,0.0814
Croatia,1999,-0.0525,-0.0131,-0.0354,-0.0321,-0.0374
Croatia,2000,0.08,0.0621,0.0428,0.0989,0.0773
Croatia,2001,0.1129,0.2652,0.0898,0.1217,0.0716
Croatia,2002,0.115,0.0071,0.1265,0.1252,0.1187
Croatia,2003,0.0409,0.099,0.0856,0.0815,0.0713
Croatia,2004,0.0721,0.129,0.0785,0.0836,0.0823
Croatia,2005,0.0876,-0.0531,0.085,0.0907,0.1203
Croatia,2006,0.0786,0.1085,0.1,0.1084,0.0998
Croatia,2007,0.092,0.0898,0.1018,0.0917,0.0933
Croatia,2008,0.0866,0.0993,0.0993,0.0976,0.0951
Croatia,2009,-0.059,0.0185,-0.0705,-0.1161,-0.0773
Croatia,2010,0.0074,0.0069,-0.0359,-0.0025,-0.0036
Croatia,2011,0.0064,-0.0369,-0.0088,0.0129,-0.0007
Croatia,2012,-0.01,-0.0381,-0.0198,-0.0157,-0.0134
Croatia,2013,-0.0069,-0.0288,-0.0066,0.0001,-0.0068
Croatia,2014,-0.028,-0.0169,-0.025,0.0012,-0.0108
Croatia,2015,0.0098,0.0202,0.0105,0.04,0.0202
Croatia,2016,0.0309,0.039,0.0354,0.046,0.039
Croatia,2017,0.0609,0.045,0.0624,0.072,0.0569
Cyprus,1961,0.0451,0.1088,0.0442,0.0635,0.0846
Cyprus,1962,0.0862,0.1037,0.133,0.1339,0.1219
Cyprus,1963,0.0855,0.0582,0.0783,0.0557,0.043
Cyprus,1964,-0.0755,-0.0719,-0.1049,-0.1149,-0.0831
Cyprus,1965,0.134,0.2358,0.0837,0.1879,0.2607
Cyprus,1966,0.1014,0.0809,0.1816,0.1523,0.0913
Cyprus,1967,0.1321,0.1366,0.1135,0.1149,0.132
Cyprus,1968,-0.0122,-0.0302,0.0055,0.0068,-0.0223
Cyprus,1969,0.1406,0.1765,0.1619,0.1759,0.1586
Cyprus,1970,0.094,0.0676,0.1064,0.0925,0.0708
Cyprus,1971,0.1235,0.1428,0.1201,0.1285,0.1445
Cyprus,1972,0.1263,0.1402,0.1341,0.1404,0.1348
Cyprus,1973,0.092,1.4725,0.1695,0.1672,0.0225
Cyprus,1974,0.0027,-0.0802,-0.0207,-0.0592,-0.0874
Cyprus,1975,-0.1804,-0.1872,-0.2083,-0.2042,-0.1995
Cyprus,1976,0.2066,0.0369,0.237,0.3907,0.3365
Cyprus,1977,0.2492,0.1774,0.3159,0.2789,0.2574
Cyprus,1978,0.1513,0.2352,0.1914,0.1356,0.1651
Cyprus,1979,0.1168,0.2505,0.1645,0.1983,0.2128
Cyprus,1980,0.2415,0.3605,0.2537,0.26,0.2549
Cyprus,1981,0.1455,0.2802,0.1376,0.1735,0.1537
Cyprus,1982,0.1748,0.1655,0.154,0.1594,0.1629
Cyprus,1983,0.1895,0.2039,0.1641,0.164,0.1625
Cyprus,1984,0.1611,0.2329,0.2099,0.2513,0.2279
Cyprus,1985,-0.1444,-0.1322,-0.1743,-0.193,-0.1487
Cyprus,1986,0.0159,0.0588,0.0038,-0.0108,0.0591
Cyprus,1987,-0.047,-0.0231,-0.0198,-0.0043,-0.0191
Cyprus,1988,0.3059,0.2788,0.3113,0.3154,0.2793
Cyprus,1989,0.0264,0.0495,0.0574,0.08,0.0467
Cyprus,1990,0.1614,0.1546,0.1402,0.1384,0.1532
Cyprus,1991,0.162,0.0626,0.1295,0.0702,0.0622
Cyprus,1992,0.0856,0.1354,0.1273,0.1612,0.1403
Cyprus,1993,-0.001,0.0583,-0.028,-0.0256,0.0605
