"COUNTRY","year","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52"
"Austria",1960,1553.51,4632.573,861.456,7047.539,1.9,NA,3.8028,0.5396,4.5678,0.92722,1.86102,1.66218,1.60734,6.2234,7.7099,6.2812,6.3339,0.89875,5.354,5.365,6.2922,NA,NA,2.7734,5.5871,3.73664,1.19503,0.235461,1.74549,208.337,1.3492,1.0692,0.29402,1.44,1.3165,0.12193,-0.06373,-0.04552,NA,-0.012017,1.0594,1.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1961,1589.456,4617.109,879.734,7086.299,1.5,NA,4.113,0.58042,4.9288,1.0074,2.05993,1.91549,1.83418,6.8322,8.3751,6.8837,6.9488,0.98059,5.8763,5.9012,6.9086,NA,NA,3.0589,6.1162,4.08459,1.2931,0.258071,1.98041,216.714,1.4626,1.1232,0.35131,1.497,1.3681,0.12727,-0.0155,0.01658,NA,-0.018378,1.1243,1.3838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1962,1615.872,4615.138,898.855,7129.864,1.5,NA,4.4263,0.62081,5.3084,1.09277,2.01513,2.00066,1.92701,7.2986,8.8671,7.3624,7.3693,1.03359,6.2696,6.2346,7.3274,NA,NA,3.3234,6.3204,4.11147,1.38783,0.309529,2.1455,224.953,1.6085,1.1648,0.45064,1.5727,1.4288,0.14224,0.11756,0.09419,NA,-0.020133,1.1787,1.4442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1963,1638.802,4620.296,916.714,7175.811,1.6,NA,4.7943,0.66812,5.7787,1.20969,2.14245,2.17583,1.97663,7.9432,9.6035,7.8859,7.941,1.10663,6.6763,6.6879,7.8975,NA,NA,3.5801,6.8389,4.39365,1.49698,0.375022,2.33096,233.291,1.7498,1.2107,0.54159,1.7381,1.525,0.21093,0.05285,0.07442,NA,-0.023369,1.2357,1.5564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1964,1667.412,4618.941,937.449,7223.801,1.5,NA,5.1434,0.71201,6.2257,1.30518,2.54163,2.41839,2.28761,8.6287,10.5753,8.6639,8.6907,1.20307,7.3587,7.3418,8.6469,NA,NA,3.9404,7.3436,4.70528,1.63622,0.389836,2.62115,242.765,1.8951,1.3043,0.59293,1.9599,1.6905,0.26679,0.00539,0.00072,NA,-0.029121,1.3451,1.7302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1965,1698.122,4614.603,958.164,7270.889,1.5,NA,5.6378,0.7754,6.8184,1.44988,2.76826,2.72029,2.43969,9.5189,11.5805,9.4189,9.4478,1.2994,7.9691,7.9507,9.4006,NA,NA,4.3391,7.8548,4.92398,1.78555,0.431938,2.86406,252.874,2.0869,1.4375,0.65188,2.2086,1.9195,0.28622,-0.04602,-0.05105,NA,-0.031997,1.4919,1.9574,6.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1966,1729.419,4613.494,979.154,7322.066,1.4,NA,6.0174,0.82182,7.3359,1.57606,3.20386,3.01733,2.7575,10.3282,12.6947,10.2747,10.2941,1.4059,8.6987,8.665,10.2411,NA,NA,4.7821,8.3602,5.17438,1.95194,0.470921,3.18843,264.129,2.2677,1.5279,0.73934,2.4796,2.1329,0.34346,-0.11972,-0.13769,NA,-0.033435,1.5732,2.1742,6.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1967,1760.482,4615.088,1001.429,7376.998,1.5,NA,6.5001,0.88113,8.006,1.71463,3.17424,3.08298,2.77801,11.0705,13.4956,10.9675,10.9878,1.48946,9.2529,9.2282,10.9428,NA,NA,5.2013,8.7408,5.29098,2.14771,0.471701,3.32007,274.594,2.4226,1.6438,0.77943,2.5852,2.1317,0.44964,-0.0726,-0.08127,NA,-0.046595,1.6998,2.1684,7.22,4.75,2.47,NA,NA,NA,NA,NA,NA,NA
"Austria",1968,1786.74,4608.377,1020.286,7415.403,1.6,NA,7.1696,0.96685,8.8682,1.87683,3.49656,3.3094,3.0922,12.1614,15.0181,12.1646,12.1982,1.64498,10.2877,10.2903,12.1672,NA,NA,5.7068,9.363,5.71429,2.38516,0.486515,3.71644,285.092,2.7624,1.8639,0.89825,2.8862,2.3696,0.51223,-0.04747,-0.02916,NA,-0.06953,1.9341,2.4269,7.74,4.14,3.6,NA,NA,NA,NA,NA,NA,NA
"Austria",1969,1807.165,4597.53,1036.361,7441.055,1.6,NA,7.675,1.03144,9.5874,2.00998,3.80485,3.54611,3.56438,13.1174,16.6654,13.3863,13.42,1.8035,11.3763,11.3614,13.3713,NA,NA,6.264,10.2596,6.3775,2.59994,0.504447,4.0139,296.113,3.3528,2.2765,1.07727,3.3223,2.6806,0.6365,0.1475,0.15088,NA,-0.062837,2.3596,2.7637,7.52,4.49,3.03,NA,NA,NA,NA,NA,NA,NA
